timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1699366696604,1961,open Web Page,200,"Number of samples in transaction : 2, number of failing samples : 0",jp@gc - Ultimate Thread Group 1-5,,true,,106347,1495,2,2,null,0,313,1297
1699366696894,1572,open Web Page-9,200,OK,jp@gc - Ultimate Thread Group 1-5,text,true,,4608,769,1,1,https://opensource-demo.orangehrmlive.com/web/index.php/auth/login,1570,0,1297
1699366698487,389,open Web Page-10,200,OK,jp@gc - Ultimate Thread Group 1-5,text,true,,101739,726,2,2,https://opensource-demo.orangehrmlive.com/web/index.php/core/i18n/messages,283,0,0
1699366698547,906,open Web Page,200,"Number of samples in transaction : 2, number of failing samples : 0",jp@gc - Ultimate Thread Group 1-4,,true,,106338,1495,2,2,null,0,8,255
1699366698551,507,open Web Page-9,200,OK,jp@gc - Ultimate Thread Group 1-4,text,true,,4607,769,2,2,https://opensource-demo.orangehrmlive.com/web/index.php/auth/login,507,0,255
1699366699061,399,open Web Page-10,200,OK,jp@gc - Ultimate Thread Group 1-4,text,true,,101731,726,2,2,https://opensource-demo.orangehrmlive.com/web/index.php/core/i18n/messages,277,0,0
1699366700544,900,open Web Page,200,"Number of samples in transaction : 2, number of failing samples : 0",jp@gc - Ultimate Thread Group 1-3,,true,,106317,1495,3,3,null,0,3,198
1699366700545,444,open Web Page-9,200,OK,jp@gc - Ultimate Thread Group 1-3,text,true,,4586,769,3,3,https://opensource-demo.orangehrmlive.com/web/index.php/auth/login,444,0,198
1699366700991,456,open Web Page-10,200,OK,jp@gc - Ultimate Thread Group 1-3,text,true,,101731,726,3,3,https://opensource-demo.orangehrmlive.com/web/index.php/core/i18n/messages,330,0,0
1699366702545,845,open Web Page,200,"Number of samples in transaction : 2, number of failing samples : 0",jp@gc - Ultimate Thread Group 1-2,,true,,106327,1495,4,4,null,0,3,203
1699366702546,447,open Web Page-9,200,OK,jp@gc - Ultimate Thread Group 1-2,text,true,,4596,769,4,4,https://opensource-demo.orangehrmlive.com/web/index.php/auth/login,447,0,203
1699366702995,398,open Web Page-10,200,OK,jp@gc - Ultimate Thread Group 1-2,text,true,,101731,726,4,4,https://opensource-demo.orangehrmlive.com/web/index.php/core/i18n/messages,276,0,0
1699366704545,1039,open Web Page,200,"Number of samples in transaction : 2, number of failing samples : 0",jp@gc - Ultimate Thread Group 1-1,,true,,106312,1495,5,5,null,0,5,261
1699366704547,565,open Web Page-9,200,OK,jp@gc - Ultimate Thread Group 1-1,text,true,,4581,769,5,5,https://opensource-demo.orangehrmlive.com/web/index.php/auth/login,565,0,261
1699366705114,474,open Web Page-10,200,OK,jp@gc - Ultimate Thread Group 1-1,text,true,,101731,726,5,5,https://opensource-demo.orangehrmlive.com/web/index.php/core/i18n/messages,375,0,0
1699366699885,5895,login,200,"Number of samples in transaction : 19, number of failing samples : 0",jp@gc - Ultimate Thread Group 1-5,,true,,616468,15850,5,5,null,0,21,0
1699366699886,852,login-11,200,OK,jp@gc - Ultimate Thread Group 1-5,text,true,,9485,2129,3,3,https://opensource-demo.orangehrmlive.com/web/index.php/dashboard/index,553,0,0
1699366699886,553,login-11-0,302,Found,jp@gc - Ultimate Thread Group 1-5,text,true,,1786,1161,3,3,https://opensource-demo.orangehrmlive.com/web/index.php/auth/validate,553,0,0
1699366700442,296,login-11-1,200,OK,jp@gc - Ultimate Thread Group 1-5,text,true,,7699,968,3,3,https://opensource-demo.orangehrmlive.com/web/index.php/dashboard/index,296,0,0
1699366700739,370,login-13,200,OK,jp@gc - Ultimate Thread Group 1-5,text,true,,7699,868,3,3,https://opensource-demo.orangehrmlive.com/web/index.php/dashboard/index,370,0,0
1699366701110,413,login-16,200,OK,jp@gc - Ultimate Thread Group 1-5,text,true,,101754,731,3,3,https://opensource-demo.orangehrmlive.com/web/index.php/core/i18n/messages,301,0,0
1699366701524,86,login-17,200,OK,jp@gc - Ultimate Thread Group 1-5,,true,,27385,751,3,3,https://opensource-demo.orangehrmlive.com/web/dist/fonts/nunito-sans-v6-latin-ext_latin-700.woff2,86,0,0
1699366701611,77,login-18,200,OK,jp@gc - Ultimate Thread Group 1-5,,true,,27873,754,3,3,https://opensource-demo.orangehrmlive.com/web/dist/fonts/nunito-sans-v6-latin-ext_latin-italic.woff2,77,0,0
1699366701690,266,login-19,200,OK,jp@gc - Ultimate Thread Group 1-5,text,true,,2235,834,3,3,https://opensource-demo.orangehrmlive.com/web/index.php/api/v2/dashboard/employees/time-at-work?timezoneOffset=3&currentDate=2023-11-07&currentTime=14%3A18,266,0,0
1699366701956,260,login-20,200,OK,jp@gc - Ultimate Thread Group 1-5,text,true,,1242,761,3,3,https://opensource-demo.orangehrmlive.com/web/index.php/api/v2/dashboard/shortcuts,260,0,0
1699366702217,245,login-21,200,OK,jp@gc - Ultimate Thread Group 1-5,text,true,,1352,776,3,3,https://opensource-demo.orangehrmlive.com/web/index.php/api/v2/dashboard/employees/action-summary,245,0,0
1699366702463,230,login-22,200,OK,jp@gc - Ultimate Thread Group 1-5,text,true,,4236,750,4,4,https://opensource-demo.orangehrmlive.com/web/index.php/api/v2/buzz/feed?limit=5&offset=0&sortOrder=DESC&sortField=share.createdAtUtc,230,0,0
1699366702694,290,login-24,200,OK,jp@gc - Ultimate Thread Group 1-5,text,true,,1125,784,4,4,https://opensource-demo.orangehrmlive.com/web/index.php/api/v2/dashboard/employees/leaves?date=2023-05-25,290,0,0
1699366702985,207,login-25,200,OK,jp@gc - Ultimate Thread Group 1-5,text,true,,1061,802,4,4,https://opensource-demo.orangehrmlive.com/web/index.php/events/push,207,0,0
1699366703193,302,login-26,200,OK,jp@gc - Ultimate Thread Group 1-5,text,true,,1492,769,4,4,https://opensource-demo.orangehrmlive.com/web/index.php/api/v2/dashboard/employees/subunit,302,0,0
1699366703496,235,login-27,200,OK,jp@gc - Ultimate Thread Group 1-5,text,true,,1595,771,4,4,https://opensource-demo.orangehrmlive.com/web/index.php/api/v2/dashboard/employees/locations,234,0,0
1699366703732,288,login-29,200,OK,jp@gc - Ultimate Thread Group 1-5,bin,true,,23187,733,4,4,https://opensource-demo.orangehrmlive.com/web/index.php/pim/viewPhoto/empNumber/15,287,0,0
1699366704021,406,login-31,200,OK,jp@gc - Ultimate Thread Group 1-5,bin,true,,159568,732,4,4,https://opensource-demo.orangehrmlive.com/web/index.php/pim/viewPhoto/empNumber/7,232,0,0
1699366704428,302,login-34,200,OK,jp@gc - Ultimate Thread Group 1-5,bin,true,,21857,732,5,5,https://opensource-demo.orangehrmlive.com/web/index.php/pim/viewPhoto/empNumber/2,301,0,0
1699366704730,488,login-33,200,OK,jp@gc - Ultimate Thread Group 1-5,bin,true,,98773,720,5,5,https://opensource-demo.orangehrmlive.com/web/index.php/buzz/photo/12,410,0,0
1699366705220,256,login-36,200,OK,jp@gc - Ultimate Thread Group 1-5,bin,true,,34051,733,5,5,https://opensource-demo.orangehrmlive.com/web/index.php/pim/viewPhoto/empNumber/22,247,0,0
1699366705478,322,login-35,200,OK,jp@gc - Ultimate Thread Group 1-5,bin,true,,90498,720,5,5,https://opensource-demo.orangehrmlive.com/web/index.php/buzz/photo/11,250,0,0
1699366700462,5773,login,200,"Number of samples in transaction : 19, number of failing samples : 0",jp@gc - Ultimate Thread Group 1-4,,true,,616476,15849,5,5,null,0,27,0
